item,mean RT,sd for RT,mean rating,sd for rating
raisin,1259.3,839.7,6.2,2
rally,1444.7,663.5,5,2.1
ramble,1947.9,1932,3.5,2.3
rampage,2497.6,1858.4,4.7,2.2
rampant,2033.8,1378.3,3.1,2.1
rampart,2064.2,1587.6,2.3,1.7
random,1749.6,932.2,3.7,2.3
ransom,1733.3,1258.2,4.8,2.2
rapid,1524,1048.8,5,2.3
rapids,1601.9,1169.6,6.2,1.8
rapport,2182,1742.6,2.1,1.6
rapture,2058.2,1455,3.7,2.5
rascal,1754.9,1930.2,5.1,2.2
ratchet,2090.8,2768.8,5.3,2.4
rather,1675,1079.4,2.3,1.8
ration,1988.8,2594.4,3.7,2.1
rattle,1563.5,1225.2,6.1,1.7
ravage,2162,1752.1,3.5,2.2
raven,1269,950.3,6.8,0.6
ravine,1427.3,641.7,5.2,2.1
razor,1188.6,923.8,6.4,1.3
ready,1886.1,1165.3,3.2,2.4
really,2268.5,2695,2.5,2
reason,2068,1718.6,2.7,1.8
rebel,1780.8,1222.6,4.8,2.3
reboot,1911.4,1125,4.7,1.7
recall,1902.3,1576.1,3.3,2.2
recant,2202.4,2786,3.1,2.1
recap,1689.7,965.6,2.9,1.9
receipt,1379.9,838,6.7,1.4
receive,2001.7,1578,3.5,2.1
recent,2046,1314.6,2.9,2.1
recess,1820.1,1300.5,5.5,2.2
reckon,1955,1780.4,2.3,1.8
recluse,2217.8,1729.6,3.2,2.3
